DCODE,DNAME,tot_m_ai,tot_m_as,tot_m_aa,tot_m_hw,tot_m_wh,tot_m_hs,tot_m_mr,tot_f_ai,tot_f_as,tot_f_aa,tot_f_hw,tot_f_wh,tot_f_hs,tot_f_mr,tot_ai,tot_as,tot_aa,tot_hw,tot_wh,tot_hs,tot_mr,k_totl,g1_totl,g2_totl,g3_totl,g4_totl,g5_totl,g6_totl,g7_totl,g8_totl,g9_totl,g10_totl,g11_totl,g12_totl,tot_male,tot_fem,tot_all
01010,Alcona Community Schools,6,4,0,0,461,2,0,2,4,1,0,415,4,0,8,8,1,0,876,6,0,47,59,61,49,60,64,78,82,85,72,85,72,85,473,426,899
02010,AuTrain-Onota Public Schools,0,0,0,0,15,0,3,0,0,0,0,26,0,0,0,0,0,0,41,0,3,4,5,6,6,6,8,4,4,1,0,0,0,0,18,26,44
02020,Burt Township School District,0,1,0,0,24,2,0,0,0,0,0,14,0,0,0,1,0,0,38,2,0,1,4,2,0,1,4,1,3,3,8,3,8,3,27,14,41
02070,Munising Public Schools,76,6,4,0,255,8,0,66,2,1,1,253,5,0,142,8,5,1,508,13,0,62,42,49,56,44,42,55,48,61,52,52,57,57,349,328,677
02080,Superior Central Schools,1,2,0,0,171,0,0,3,3,0,2,200,0,0,4,5,0,2,371,0,0,19,27,26,30,31,22,24,38,31,30,26,38,40,174,208,382
03000,Allegan Area Educational Service Agency,0,0,3,0,27,0,0,0,0,0,0,6,0,0,0,0,3,0,33,0,0,3,5,3,5,5,3,3,4,4,0,0,0,1,30,6,36
03010,Plainwell Community Schools,4,10,27,5,1353,18,5,1,14,36,2,1270,14,5,5,24,63,7,2623,32,10,200,182,211,192,209,191,231,217,199,264,244,213,211,1422,1342,2764
03020,Otsego Public Schools,2,3,7,0,1181,18,18,2,11,12,1,1019,7,13,4,14,19,1,2200,25,31,188,151,151,194,170,178,156,180,169,204,175,194,184,1229,1065,2294
03030,Allegan Public Schools,8,8,56,2,1330,51,8,5,9,43,5,1245,40,13,13,17,99,7,2575,91,21,257,207,207,172,213,221,167,204,198,241,305,226,205,1463,1360,2823
03040,Wayland Union Schools,25,8,24,0,1343,56,0,21,11,23,1,1387,35,2,46,19,47,1,2730,91,2,278,230,197,217,218,216,200,216,226,203,234,257,244,1456,1480,2936
03050,Fennville Public Schools,1,0,16,0,425,339,3,1,0,10,0,429,283,2,2,0,26,0,854,622,5,139,98,108,92,108,124,101,103,110,116,133,132,145,784,725,1509
03060,Martin Public Schools,0,2,5,0,308,17,3,0,2,1,0,250,14,5,0,4,6,0,558,31,8,71,40,43,55,63,36,36,37,45,37,48,42,54,335,272,607
03070,Hopkins Public Schools,8,3,7,0,855,13,2,8,1,3,0,775,13,1,16,4,10,0,1630,26,3,152,132,126,116,136,117,99,130,124,148,136,147,126,888,801,1689
03080,Saugatuck Public Schools,0,0,2,0,404,0,9,0,0,1,0,426,1,14,0,0,3,0,830,1,23,92,51,59,74,65,73,61,68,67,64,59,54,70,415,442,857
03100,Hamilton Community Schools,8,13,8,1,1283,53,2,9,9,12,0,1140,45,2,17,22,20,1,2423,98,4,237,199,172,195,202,188,202,208,189,221,208,192,172,1368,1217,2585
03440,Glenn Public School District,0,0,0,0,23,0,0,0,0,0,0,17,0,0,0,0,0,0,40,0,0,9,5,8,5,7,4,2,0,0,0,0,0,0,23,17,40
03902,Outlook Academy,0,0,1,0,34,6,0,1,0,0,0,6,3,0,1,0,1,0,40,9,0,0,0,0,0,0,0,4,8,12,10,11,6,0,41,10,51
04010,Alpena Public Schools,7,14,11,2,2180,4,28,11,14,9,3,2117,3,28,18,28,20,5,4297,7,56,300,258,278,304,323,312,331,329,320,423,491,370,392,2246,2185,4431
04901,Bingham Academy,0,1,0,0,77,1,0,0,0,0,1,59,2,1,0,1,0,1,136,3,1,23,20,20,26,13,14,12,10,4,0,0,0,0,79,63,142
05010,Alba Public Schools,1,0,0,0,108,0,0,2,0,0,0,102,0,0,3,0,0,0,210,0,0,10,17,19,22,14,17,12,19,15,16,21,11,20,109,104,213
05035,Central Lake Public Schools,3,0,0,0,197,2,0,1,0,0,1,171,3,0,4,0,0,1,368,5,0,17,28,28,22,28,30,29,27,32,35,33,34,35,202,176,378
05040,Bellaire Public Schools,1,2,4,1,245,1,0,2,4,3,1,259,1,0,3,6,7,2,504,2,0,40,41,37,41,42,32,38,32,56,37,46,44,38,254,270,524
05060,Elk Rapids Schools,25,4,6,2,703,46,0,21,8,4,1,680,48,1,46,12,10,3,1383,94,1,159,103,98,116,122,93,112,134,103,129,132,114,134,786,763,1549
05065,Ellsworth Community School,2,1,3,0,103,6,0,0,2,6,1,101,5,0,2,3,9,1,204,11,0,14,13,16,20,16,19,21,20,13,21,23,16,18,115,115,230
05070,Mancelona Public Schools,4,2,3,0,530,3,1,3,0,4,1,542,2,0,7,2,7,1,1072,5,1,138,83,76,70,76,86,76,75,79,79,89,83,85,543,552,1095
05901,Concord Montessori and Community School,0,0,2,0,71,1,0,0,0,1,0,92,2,0,0,0,3,0,163,3,0,8,14,9,11,14,10,9,19,20,19,11,10,15,74,95,169
06010,Arenac Eastern School District,1,0,1,0,131,3,1,1,0,1,0,131,0,0,2,0,2,0,262,3,1,21,12,17,16,19,22,22,20,28,21,30,12,30,137,133,270
