"District Name","District Code","K-12 American Indian Male","K-12 Asian Male","K-12 African-American Male","K-12 Native Hawaiian Male","K-12 White Male","K-12 Hispanic Male","K-12 Multiracial Male","K-12 American Indian Female","K-12 Asian Female","K-12 African-American Female","K-12 Native Hawaiian Female","K-12 White Female","K-12 Hispanic Female","K-12 Multiracial Female","K-12 Total American Indian","K-12 Total Asian","K-12 Total African-American","K-12 Total Native Hawaiian","K-12 Total White","K-12 Total Hispanic","K-12 Total Multiracial","Kindergarten Total Enrollment","Grade1 Total Enrollment","Grade2 Total Enrollment","Grade3 Total Enrollment","Grade4 Total Enrollment","Grade5 Total Enrollment","Grade6 Total Enrollment","Grade7 Total Enrollment","Grade8 Total Enrollment","Grade9 Total Enrollment","Grade10 Total Enrollment","Grade11 Total Enrollment","Grade12 Total Enrollment","K-12 Total Male","K-12 Total Female","K-12 Grand Total Enrollment","Year","City","County"
"1","Academic Transitional Academy",74908,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,2009,"Port Huron","St. Clair"
"2","Achieve Charter Academy",82717,0,149,40,0,124,6,12,3,153,41,0,110,6,16,3,302,81,0,234,12,28,75,83,84,84,84,84,84,82,0,0,0,0,0,331,329,660,2011,"Canton","Wayne"
"3","Achieve Charter Academy",82717,0,149,40,0,124,6,12,3,153,41,0,110,6,16,3,302,81,0,234,12,28,75,83,84,84,84,84,84,82,0,0,0,0,0,331,329,660,2012,"Canton","Wayne"
"4","Achieve Charter Academy",82717,0,149,40,0,124,6,12,3,153,41,0,110,6,16,3,302,81,0,234,12,28,75,83,84,84,84,84,84,82,0,0,0,0,0,331,329,660,2013,"Canton","Wayne"
"5","Achieve Charter Academy",82717,0,133,38,0,112,6,0,2,129,34,0,103,6,0,2,262,72,0,215,12,0,75,81,83,82,81,81,80,0,0,0,0,0,0,289,274,563,2009,"Canton","Wayne"
"6","Achieve Charter Academy",82717,0,149,40,0,124,6,12,3,153,41,0,110,6,16,3,302,81,0,234,12,28,75,83,84,84,84,84,84,82,0,0,0,0,0,331,329,660,2010,"Canton","Wayne"
"7","Adams Township School District",31020,4,0,1,0,232,0,1,1,1,1,0,192,0,0,5,1,2,0,424,0,1,34,32,33,32,25,32,41,29,27,35,32,47,34,238,195,433,2013,"Painesdale","Houghton"
"8","Adams Township School District",31020,4,0,1,0,232,0,1,1,1,1,0,192,0,0,5,1,2,0,424,0,1,34,32,33,32,25,32,41,29,27,35,32,47,34,238,195,433,2012,"Painesdale","Houghton"
"9","Adams Township School District",31020,2,1,2,0,238,0,0,0,1,1,0,185,0,0,2,2,3,0,423,0,0,36,30,33,28,32,37,27,27,34,37,42,33,34,243,187,430,2009,"Painesdale","Houghton"
"10","Adams Township School District",31020,4,0,1,0,232,0,1,1,1,1,0,192,0,0,5,1,2,0,424,0,1,34,32,33,32,25,32,41,29,27,35,32,47,34,238,195,433,2010,"Painesdale","Houghton"
